Gene = LOC101735867
index = 143
Annotated 5SS: [  665 13852 15664 16997]
Annotated 3SS: [13724 15526 16838 18721]
SMsplice 5SS: [  665 13852 15783 16997]
SMsplice 3SS: [13724 15526 16838 18721]
length: 19505
Partition function (logZ) = -9.554571061838754
#Introns = 1605
5SS, 3SS, prob
15783, 16838, 0.7420786555291646
16997, 18721, 0.415036781232381
665, 13724, 0.3069361453000271
13852, 15526, 0.30687404108484867
13852, 14133, 0.2775559402646186
12830, 13724, 0.22902329580152403
665, 12663, 0.18671378197594973
665, 11571, 0.1746127895652415
11778, 12663, 0.1745422012118033
18951, 19367, 0.15459906150848285
16997, 18140, 0.15012084421585586
18951, 19392, 0.14704680624532537
12841, 13724, 0.14434036234721623
18604, 18721, 0.1172435805087776
13852, 15581, 0.10751543483778662
14364, 15526, 0.10088949849698237
11778, 13724, 0.09942451738971557
12852, 13724, 0.09872570023899055
14682, 15526, 0.09382434615027288
13852, 14465, 0.0858582697185698
444, 522, 0.0805697313853813
16997, 18548, 0.06828059260004793
144, 522, 0.06779602027976482
665, 11575, 0.06760530460466124
16997, 18344, 0.06500697369583192
18600, 18721, 0.06281322339846447
16997, 17826, 0.060184679027390636
14310, 15526, 0.047392099912844106
18951, 19052, 0.04366519269578054
13852, 16838, 0.04219463266395866
13852, 15566, 0.04086340256588425
15664, 16838, 0.03842551268503557
144, 13724, 0.0366521846848182
16961, 18721, 0.03547998693531592
14682, 15581, 0.035333035931071094
11768, 12663, 0.034221965980195244
14364, 15581, 0.03305296660139311
13852, 14570, 0.028246540581649285
15668, 16838, 0.027712245304895054
15783, 18721, 0.024929390355485134
13852, 15542, 0.024482243453780222
18116, 18721, 0.024302502666333724
144, 12663, 0.023103333288602892
18233, 18721, 0.023042956975447
144, 11571, 0.023031184471913855
16997, 17430, 0.020772641322224738
14364, 14465, 0.019742393679422987
444, 13724, 0.019622132589330436
17677, 18721, 0.018575284766901654
13852, 15689, 0.01781577905578853
14310, 15581, 0.017169420730090063
15783, 16783, 0.016514382192767258
11768, 13724, 0.01537921514764582
3282, 13724, 0.014088824438936618
14272, 15526, 0.013833709037187425
18009, 18721, 0.0138027942565709
14941, 15526, 0.01308945399211861
15812, 16838, 0.012745152046245779
14682, 15566, 0.012560097487113897
16961, 18140, 0.012446589918548407
444, 12663, 0.012368612483616436
444, 11571, 0.01232998685571977
14364, 15566, 0.01201136044832771
7262, 13724, 0.010942122177569197
18951, 19084, 0.01091531343404441
13852, 14498, 0.01065715883768319
18951, 19156, 0.010588789946624608
665, 3088, 0.01010617153318004
16997, 18754, 0.010102903489520036
302, 522, 0.010037754142189395
3282, 12663, 0.009457919780471674
14364, 16838, 0.009372195033666673
1228, 13724, 0.009266418658144825
16997, 17513, 0.009234099885162227
144, 11575, 0.008895455694648292
16371, 16838, 0.008730672005991808
665, 3158, 0.008382325292916002
15660, 16838, 0.008072265587190697
665, 11544, 0.008019698848632304
18632, 18721, 0.008010266649673706
13856, 15526, 0.0079635516733961
13852, 18721, 0.007931452074988646
13856, 14133, 0.00762940871800849
16997, 19392, 0.007483738492337859
7262, 12663, 0.007471083509480973
16997, 17778, 0.007378228674357283
14682, 16838, 0.007164557470986581
127, 522, 0.006926811990822076
16961, 18548, 0.00685016619872211
115, 522, 0.006743645820845814
665, 7002, 0.006575519369420756
16997, 19367, 0.006230553089029026
1228, 12663, 0.005840993122015046
1228, 11571, 0.0058227524319475945
3282, 11571, 0.0057806441809030865
16961, 17826, 0.005652549315880147
665, 7211, 0.005593256273193183
16997, 18665, 0.005539308785624739
14364, 15542, 0.005531807052664208
16961, 18344, 0.0054566471878203585
14682, 15542, 0.005319103137387728
302, 12663, 0.005170300179905139
302, 11571, 0.005154153979906747
14383, 15526, 0.005093588027130771
18047, 18721, 0.004953507931356375
15783, 16370, 0.004868126038909633
18951, 19028, 0.00486483163213884
17677, 18140, 0.004803001580778868
444, 11575, 0.004762275771113952
15783, 16268, 0.004662269437224085
5334, 12663, 0.0046514483532038
14310, 14465, 0.004588030845261472
7262, 11571, 0.004519029378344788
18951, 19058, 0.004503922572657604
14310, 16838, 0.00438507341743672
16250, 16838, 0.0043812094572293755
18951, 19373, 0.004301793272292244
15783, 18140, 0.0042863100729353
18951, 19275, 0.0042632941513800725
16997, 17860, 0.004152700060874146
18275, 18721, 0.004078181947246787
18951, 19217, 0.004018160799548099
15783, 16134, 0.0039913056355225214
15783, 18548, 0.003959206122958975
13852, 14184, 0.0039211991356288365
974, 12663, 0.0037577988645874955
665, 15526, 0.003757604165404387
284, 522, 0.003754546805553817
15783, 16288, 0.0036626812852702164
665, 11478, 0.0036466130585852924
18445, 18721, 0.003601388799064552
5342, 12663, 0.003487192610765258
5334, 11571, 0.003467748111809078
16997, 17494, 0.0034462849700587126
18604, 19367, 0.0034247086510421085
18102, 18721, 0.0033645322268854375
665, 5251, 0.0032507387592872524
665, 6966, 0.003241642440747999
17677, 18548, 0.0032163590532570153
15631, 16838, 0.003208317181182421
16997, 18724, 0.0031879164938974163
18604, 19392, 0.0031877839310554064
18116, 18548, 0.0030778247934114475
13852, 14170, 0.0029360462790424167
17677, 18344, 0.002794279376414025
16997, 17631, 0.002786221479424584
14364, 14570, 0.0027704042104658563
15783, 18344, 0.0027586974525576897
13852, 15545, 0.0027385228462778423
14249, 15526, 0.0027083799755323427
17175, 18721, 0.0026918815650151216
15932, 16838, 0.0026291517472140495
17673, 18721, 0.00259376508207703
18233, 18548, 0.0025090224409440244
14245, 15526, 0.002478923351289611
665, 7174, 0.002451836991596537
13856, 14465, 0.0023827318855385573
127, 12663, 0.0022647778373325335
12079, 12663, 0.002246262516258172
11778, 11887, 0.002246262516258172
11656, 12663, 0.0022012665667122083
16961, 17430, 0.002058032976281792
18604, 18754, 0.0020165421569087955
18600, 19367, 0.0019919967234828875
665, 5039, 0.0019750954295951932
16997, 18696, 0.0019206752932063064
18600, 19392, 0.0018579638184829939
14383, 14465, 0.001831816169692636
16997, 17062, 0.0018050393643419963
14310, 14570, 0.0018040543165571867
18009, 18140, 0.001772027776215955
665, 3093, 0.0017638917162979774
13852, 14845, 0.0017251304881352803
15783, 15899, 0.0017227714467819796
665, 16838, 0.0016983349745127003
16997, 18111, 0.0016431077746865874
665, 11520, 0.001638015953908284
13852, 15406, 0.0016118510612070666
18009, 18548, 0.0015602017653536422
15783, 17826, 0.001559208172162923
14272, 16838, 0.0015331070529862826
16997, 19052, 0.0015253065192597178
18233, 18344, 0.001498402906207021
18047, 18140, 0.0014678804825083193
144, 218, 0.001467341469850755
13852, 14253, 0.0013992749698320866
15664, 18721, 0.0013823586191420863
665, 5186, 0.0013816071316256064
12830, 13388, 0.0013631775268364023
665, 2802, 0.0013344357336249003
14364, 18721, 0.0013220959851018637
665, 13388, 0.0013002501859058066
14272, 14465, 0.0012590233512821474
12830, 14133, 0.0012461211271261488
16997, 17410, 0.001195496428447603
16596, 16838, 0.001184725622281944
16997, 17252, 0.0011736255579267323
144, 3088, 0.0011735064553781611
16584, 16838, 0.0011675898965927277
14364, 14498, 0.0011437342734709392
17175, 18140, 0.0011432563656737186
13852, 18140, 0.001105929966819949
18600, 18665, 0.0011046660236384534
18951, 19297, 0.0011009910328812107
16474, 16838, 0.0010553232329053386
16997, 17390, 0.0010396409817035148
665, 5277, 0.0010388874932266228
16997, 17083, 0.0010364620646828937
13852, 15440, 0.0010286177610034331
18600, 18754, 0.0010156830630368699
144, 3158, 0.0010152351885718027
144, 7002, 0.0010111904912825033
665, 7179, 0.000982452754852729
15664, 16783, 0.0009746558663952846
18604, 18696, 0.0009734428132046689
76, 522, 0.0009234096152627935
13852, 16783, 0.0008915396855185456
18951, 19109, 0.0008813577438233658
665, 14133, 0.0008717670200673215
665, 5254, 0.0008685383575574052
144, 7211, 0.0008601370083497128
18116, 18344, 0.000849287934595399
15783, 17430, 0.0008231662815475313
16961, 17513, 0.0008207771407112763
18876, 19367, 0.0008200979906993876
18009, 18344, 0.0008171243159426306
12841, 13388, 0.0008113492607235443
14682, 18721, 0.0008077403427052776
97, 522, 0.0007760460296927211
15668, 18721, 0.0007708037354965106
8, 522, 0.0007686137497387339
17677, 17826, 0.0007662887704189976
17673, 18140, 0.0007593971195806508
18876, 19392, 0.0007570764549017414
13856, 14570, 0.0007546827577734516
12841, 14133, 0.0007424871102803063
14310, 18721, 0.0007397931190985478
13856, 16838, 0.0007282531093719123
18604, 18724, 0.0007011106354341185
14101, 14465, 0.0006631268037437664
444, 3088, 0.0006475750657149779
18445, 18548, 0.0006422640071023309
16961, 17031, 0.0006353514582870514
16961, 17778, 0.0006296629160256702
15783, 16891, 0.0006106119935645618
14249, 14465, 0.0006011614770381021
1228, 3088, 0.0005878730062173719
16997, 19084, 0.0005807198091453364
14245, 14465, 0.0005710458660511163
14272, 14570, 0.0005657165840628994
11778, 13388, 0.000565438003736445
1228, 3158, 0.0005590263696600649
444, 3158, 0.0005432070042636194
444, 7002, 0.0005413514655030678
16961, 18754, 0.000538240303641352
16997, 19156, 0.0005374648319820058
14310, 14498, 0.0005373438550666902
144, 5251, 0.0005330079453771181
12852, 13388, 0.000529530870034621
144, 6966, 0.0004985032859101657
12852, 14133, 0.0004860528410011435
15668, 16783, 0.00048110471242066076
16961, 19367, 0.0004694864673899096
18951, 19459, 0.0004635509308863503
444, 7211, 0.00046048339459063895
15783, 19367, 0.0004510424919372442
11778, 14133, 0.00044171854656538346
18604, 19052, 0.0004349006218397767
15783, 19392, 0.00043296357949742565
16928, 18721, 0.00042713408068203887
16961, 19392, 0.00042711901939572044
665, 3009, 0.00041073982239866455
26, 522, 0.0003834197115993208
17175, 17826, 0.00036389529049174365
16961, 18665, 0.0003549767046908264
18600, 18696, 0.00033991992927538206
16686, 16838, 0.00033985605840817834
974, 3088, 0.0003384178206270343
13835, 14133, 0.00033545143711683195
13852, 18548, 0.0003336260145096092
14327, 14465, 0.0003280138989727288
144, 5039, 0.0003238426628253863
291, 522, 0.0003226858668527923
15664, 16370, 0.0003056858612436967
108, 522, 0.0003033216096842739
15664, 16268, 0.0002950224284694247
14364, 15406, 0.0002943695293539775
302, 3088, 0.0002922455374526784
444, 5251, 0.00028534657625281187
14143, 14465, 0.00028226000733138067
665, 18721, 0.0002674969092398501
444, 6966, 0.00026687897751420686
18116, 18754, 0.000259576582686049
16961, 17860, 0.00025540900663199655
144, 550, 0.00025204496962770375
15783, 17031, 0.00024239476265866872
13852, 14063, 0.00023875870288935403
13852, 14021, 0.0002346268611290465
974, 3158, 0.00023307714866477148
15783, 18754, 0.00022966296091876348
144, 5186, 0.00022653531393031966
302, 3158, 0.00022476073034435626
15664, 16288, 0.00022141920243608318
16961, 17631, 0.0002171606190906234
16997, 17231, 0.00021195703971889116
15664, 16134, 0.00021173095272641751
15668, 16268, 0.00021027946583825768
15668, 16370, 0.00020716045958219325
18951, 19099, 0.00020636197962421406
